Treatment,Session,Period,Subject,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10, Profit , TotalProfit ,Guess1,FinalGuess, Average , TargetValue , Diff ,IsWinner,NumWinners,Players
2,1,2,9,2,3,5,5,4,0,1,0,0,0,3,6,6,3,2,0,0,0,0,0, 2.95 , 20.89 ,9,9, 31.85 , 21.23 , 12.23 ,0,1,20
2,1,2,10,2,3,5,5,4,0,1,0,0,0,0,0,0,10,10,0,0,0,0,0, 2.75 , 20.54 ,40,40, 31.85 , 21.23 , 18.77 ,0,1,20
2,1,2,11,2,3,5,5,4,0,1,0,0,0,0,0,2,4,7,5,1,1,0,0, 2.86 , 20.62 ,28,28, 31.85 , 21.23 , 6.77 ,0,1,20
2,1,2,12,2,3,5,5,4,0,1,0,0,0,1,1,2,4,5,2,2,1,1,1, 2.94 , 20.86 ,70,70, 31.85 , 21.23 , 48.77 ,0,1,20
2,1,2,13,2,3,5,5,4,0,1,0,0,0,0,0,2,4,8,4,2,0,0,0, 2.86 , 20.62 ,35,35, 31.85 , 21.23 , 13.77 ,0,1,20
2,1,2,14,2,3,5,5,4,0,1,0,0,0,0,2,5,7,3,2,1,0,0,0, 2.97 , 20.92 ,27,27, 31.85 , 21.23 , 5.77 ,0,1,20
2,1,2,15,2,3,5,5,4,0,1,0,0,0,0,1,4,4,6,3,2,0,0,0, 2.94 , 20.87 ,35,35, 31.85 , 21.23 , 13.77 ,0,1,20
2,1,2,16,2,3,5,5,4,0,1,0,0,0,2,5,8,5,0,0,0,0,0,0, 2.93 , 20.85 ,9,9, 31.85 , 21.23 , 12.23 ,0,1,20
2,1,2,17,2,3,5,5,4,0,1,0,0,0,0,2,11,5,2,0,0,0,0,0, 2.89 , 20.80 ,25,25, 31.85 , 21.23 , 3.77 ,0,1,20
2,1,2,18,2,3,5,5,4,0,1,0,0,0,0,3,10,7,0,0,0,0,0,0, 2.88 , 20.79 ,23,23, 31.85 , 21.23 , 1.77 ,0,1,20
2,1,2,19,2,3,5,5,4,0,1,0,0,0,0,3,7,8,1,1,0,0,0,0, 2.93 , 20.83 ,25,25, 31.85 , 21.23 , 3.77 ,0,1,20
2,1,2,20,2,3,5,5,4,0,1,0,0,0,1,1,1,5,6,5,1,0,0,0, 2.88 , 20.85 ,39,39, 31.85 , 21.23 , 17.77 ,0,1,20
2,1,3,1,3,5,6,4,0,0,0,1,1,0,3,5,5,5,0,0,0,1,1,0, 3.00 , 43.87 ,10,10, 28.30 , 18.87 , 8.87 ,0,1,20
2,1,3,2,3,5,6,4,0,0,0,1,1,0,0,2,8,3,2,1,1,1,1,1, 2.93 , 23.42 ,31,31, 28.30 , 18.87 , 12.13 ,0,1,20
2,1,3,3,3,5,6,4,0,0,0,1,1,0,3,3,5,5,2,2,0,0,0,0, 2.96 , 23.76 ,26,26, 28.30 , 18.87 , 7.13 ,0,1,20
2,1,3,4,3,5,6,4,0,0,0,1,1,0,0,2,4,4,4,4,2,0,0,0, 2.85 , 43.70 ,25,25, 28.30 , 18.87 , 6.13 ,0,1,20
2,1,3,5,3,5,6,4,0,0,0,1,1,0,10,6,4,0,0,0,0,0,0,0, 2.82 , 22.95 ,5,5, 28.30 , 18.87 , 13.87 ,0,1,20
2,1,3,6,3,5,6,4,0,0,0,1,1,0,0,0,5,7,5,3,0,0,0,0, 2.80 , 23.66 ,30,30, 28.30 , 18.87 , 11.13 ,0,1,20
2,1,3,7,3,5,6,4,0,0,0,1,1,0,2,3,5,4,2,2,1,1,0,0, 2.96 , 23.77 ,33,33, 28.30 , 18.87 , 14.13 ,0,1,20
2,1,3,8,3,5,6,4,0,0,0,1,1,0,2,11,5,2,0,0,0,0,0,0, 2.89 , 23.50 ,13,13, 28.30 , 18.87 , 5.87 ,0,1,20
2,1,3,9,3,5,6,4,0,0,0,1,1,0,1,5,5,5,3,1,0,0,0,0, 22.96 , 43.84 ,18,18, 28.30 , 18.87 , 0.87 ,1,1,20
2,1,3,10,3,5,6,4,0,0,0,1,1,0,1,1,8,7,1,1,1,0,0,0, 2.91 , 23.45 ,30,30, 28.30 , 18.87 , 11.13 ,0,1,20
2,1,3,11,3,5,6,4,0,0,0,1,1,0,2,1,1,5,0,5,2,4,0,0, 2.80 , 23.42 ,35,35, 28.30 , 18.87 , 16.13 ,0,1,20
2,1,3,12,3,5,6,4,0,0,0,1,1,0,0,0,5,5,5,3,1,1,0,0, 2.82 , 23.68 ,90,90, 28.30 , 18.87 , 71.13 ,0,1,20
2,1,3,13,3,5,6,4,0,0,0,1,1,0,0,1,2,6,6,2,1,1,1,0, 2.79 , 23.40 ,30,30, 28.30 , 18.87 , 11.13 ,0,1,20
2,1,3,14,3,5,6,4,0,0,0,1,1,0,4,4,5,2,1,1,1,2,0,0, 2.97 , 23.89 ,80,80, 28.30 , 18.87 , 61.13 ,0,1,20
2,1,3,15,3,5,6,4,0,0,0,1,1,0,6,6,4,2,2,0,0,0,0,0, 2.94 , 23.81 ,10,10, 28.30 , 18.87 , 8.87 ,0,1,20
2,1,3,16,3,5,6,4,0,0,0,1,1,0,4,5,9,2,0,0,0,0,0,0, 2.96 , 23.81 ,16,16, 28.30 , 18.87 , 2.87 ,0,1,20
2,1,3,17,3,5,6,4,0,0,0,1,1,0,1,16,3,0,0,0,0,0,0,0, 2.62 , 23.42 ,12,12, 28.30 , 18.87 , 6.87 ,0,1,20
2,1,3,18,3,5,6,4,0,0,0,1,1,0,3,7,7,2,1,0,0,0,0,0, 2.97 , 23.76 ,11,11, 28.30 , 18.87 , 7.87 ,0,1,20
2,1,3,19,3,5,6,4,0,0,0,1,1,0,2,4,4,9,1,0,0,0,0,0, 2.92 , 23.75 ,28,28, 28.30 , 18.87 , 9.13 ,0,1,20
2,1,3,20,3,5,6,4,0,0,0,1,1,0,1,2,5,6,5,1,0,0,0,0, 2.89 , 23.74 ,33,33, 28.30 , 18.87 , 14.13 ,0,1,20
2,1,4,1,2,11,4,3,0,0,0,0,0,0,5,7,4,2,0,0,0,0,1,1, 2.93 , 46.80 ,15,15, 18.95 , 12.63 , 2.37 ,0,2,20
2,1,4,2,2,11,4,3,0,0,0,0,0,0,0,5,6,4,2,2,1,0,0,0, 2.87 , 26.29 ,21,21, 18.95 , 12.63 , 8.37 ,0,2,20
2,1,4,3,2,11,4,3,0,0,0,0,0,0,4,5,4,4,1,2,0,0,0,0, 2.89 , 26.64 ,15,15, 18.95 , 12.63 , 2.37 ,0,2,20
2,1,4,4,2,11,4,3,0,0,0,0,0,0,3,3,3,3,3,1,1,1,1,1, 2.80 , 46.50 ,14,14, 18.95 , 12.63 , 1.37 ,0,2,20
2,1,4,5,2,11,4,3,0,0,0,0,0,0,1,4,5,6,3,1,0,0,0,0, 2.83 , 25.78 ,35,35, 18.95 , 12.63 , 22.37 ,0,2,20
2,1,4,6,2,11,4,3,0,0,0,0,0,0,3,5,5,5,2,0,0,0,0,0, 2.89 , 26.54 ,20,20, 18.95 , 12.63 , 7.37 ,0,2,20
2,1,4,7,2,11,4,3,0,0,0,0,0,0,0,4,6,3,2,2,2,1,0,0, 2.83 , 26.60 ,26,26, 18.95 , 12.63 , 13.37 ,0,2,20
2,1,4,8,2,11,4,3,0,0,0,0,0,0,2,8,8,2,0,0,0,0,0,0, 12.94 , 36.44 ,13,13, 18.95 , 12.63 , 0.37 ,1,2,20
2,1,4,9,2,11,4,3,0,0,0,0,0,0,4,8,5,2,1,0,0,0,0,0, 2.96 , 46.80 ,16,16, 18.95 , 12.63 , 3.37 ,0,2,20
2,1,4,10,2,11,4,3,0,0,0,0,0,0,2,8,5,3,2,0,0,0,0,0, 2.97 , 26.41 ,10,10, 18.95 , 12.63 , 2.63 ,0,2,20
2,1,4,11,2,11,4,3,0,0,0,0,0,0,1,2,1,0,0,3,6,5,1,1, 2.57 , 25.99 ,31,31, 18.95 , 12.63 , 18.37 ,0,2,20
2,1,4,12,2,11,4,3,0,0,0,0,0,0,2,6,5,5,1,1,0,0,0,0, 2.92 , 26.60 ,17,17, 18.95 , 12.63 , 4.37 ,0,2,20
2,1,4,13,2,11,4,3,0,0,0,0,0,0,1,2,6,2,2,2,2,1,1,1, 2.75 , 26.15 ,16,16, 18.95 , 12.63 , 3.37 ,0,2,20
2,1,4,14,2,11,4,3,0,0,0,0,0,0,2,3,4,3,3,2,1,1,0,1, 2.80 , 26.69 ,32,32, 18.95 , 12.63 , 19.37 ,0,2,20
2,1,4,15,2,11,4,3,0,0,0,0,0,0,3,7,5,2,2,0,1,0,0,0, 2.94 , 26.75 ,6,6, 18.95 , 12.63 , 6.63 ,0,2,20
2,1,4,16,2,11,4,3,0,0,0,0,0,0,4,13,2,1,0,0,0,0,0,0, 12.96 , 36.77 ,13,13, 18.95 , 12.63 , 0.37 ,1,2,20
2,1,4,17,2,11,4,3,0,0,0,0,0,0,1,4,4,6,3,0,1,1,0,0, 2.83 , 26.24 ,23,23, 18.95 , 12.63 , 10.37 ,0,2,20
2,1,4,18,2,11,4,3,0,0,0,0,0,0,3,8,4,3,0,0,1,1,0,0, 2.97 , 26.73 ,14,14, 18.95 , 12.63 , 1.37 ,0,2,20
2,1,4,19,2,11,4,3,0,0,0,0,0,0,3,5,10,1,1,0,0,0,0,0, 2.81 , 26.55 ,15,15, 18.95 , 12.63 , 2.37 ,0,2,20
2,1,4,20,2,11,4,3,0,0,0,0,0,0,2,3,5,4,2,1,1,1,1,0, 2.82 , 26.55 ,27,27, 18.95 , 12.63 , 14.37 ,0,2,20
2,1,5,1,12,7,0,1,0,0,0,0,0,0,7,7,5,0,0,0,0,0,1,0, 2.87 , 49.67 ,10,10, 12.35 , 8.23 , 1.77 ,0,2,20
2,1,5,2,12,7,0,1,0,0,0,0,0,0,5,6,4,3,1,0,1,0,0,0, 2.82 , 29.11 ,11,11, 12.35 , 8.23 , 2.77 ,0,2,20
2,1,5,3,12,7,0,1,0,0,0,0,0,0,6,10,3,1,0,0,0,0,0,0, 2.87 , 29.51 ,10,10, 12.35 , 8.23 , 1.77 ,0,2,20
2,1,5,4,12,7,0,1,0,0,0,0,0,0,5,12,3,0,0,0,0,0,0,0, 2.79 , 49.29 ,9,9, 12.35 , 8.23 , 0.77 ,0,2,20
2,1,5,5,12,7,0,1,0,0,0,0,0,0,0,5,10,3,2,0,0,0,0,0, 2.36 , 28.14 ,35,35, 12.35 , 8.23 , 26.77 ,0,2,20
2,1,5,6,12,7,0,1,0,0,0,0,0,0,9,9,2,0,0,0,0,0,0,0, 2.96 , 29.50 ,9,9, 12.35 , 8.23 , 0.77 ,0,2,20
2,1,5,7,12,7,0,1,0,0,0,0,0,0,2,4,8,4,1,1,0,0,0,0, 2.54 , 29.14 ,16,16, 12.35 , 8.23 , 7.77 ,0,2,20
2,1,5,8,12,7,0,1,0,0,0,0,0,0,3,13,4,0,0,0,0,0,0,0, 2.67 , 39.10 ,13,13, 12.35 , 8.23 , 4.77 ,0,2,20
2,1,5,9,12,7,0,1,0,0,0,0,0,0,6,10,2,2,0,0,0,0,0,0, 2.88 , 49.68 ,9,9, 12.35 , 8.23 , 0.77 ,0,2,20
2,1,5,10,12,7,0,1,0,0,0,0,0,0,2,10,8,0,0,0,0,0,0,0, 2.57 , 28.98 ,20,20, 12.35 , 8.23 , 11.77 ,0,2,20
2,1,5,11,12,7,0,1,0,0,0,0,0,0,1,5,4,2,0,0,3,4,1,0, 2.58 , 28.57 ,15,15, 12.35 , 8.23 , 6.77 ,0,2,20
2,1,5,12,12,7,0,1,0,0,0,0,0,0,15,4,1,0,0,0,0,0,0,0, 12.95 , 39.55 ,8,8, 12.35 , 8.23 , 0.23 ,1,2,20
2,1,5,13,12,7,0,1,0,0,0,0,0,0,4,9,4,2,1,0,0,0,0,0, 2.79 , 28.93 ,10,10, 12.35 , 8.23 , 1.77 ,0,2,20
2,1,5,14,12,7,0,1,0,0,0,0,0,0,6,10,2,1,0,0,0,1,0,0, 2.88 , 29.56 ,9,9, 12.35 , 8.23 , 0.77 ,0,2,20
2,1,5,15,12,7,0,1,0,0,0,0,0,0,6,11,2,0,0,0,1,0,0,0, 2.86 , 29.60 ,9,9, 12.35 , 8.23 , 0.77 ,0,2,20
2,1,5,16,12,7,0,1,0,0,0,0,0,0,16,3,1,0,0,0,0,0,0,0, 12.92 , 49.69 ,8,8, 12.35 , 8.23 , 0.23 ,1,2,20
2,1,5,17,12,7,0,1,0,0,0,0,0,0,4,13,2,1,0,0,0,0,0,0, 2.74 , 28.98 ,10,10, 12.35 , 8.23 , 1.77 ,0,2,20
2,1,5,18,12,7,0,1,0,0,0,0,0,0,7,12,1,0,0,0,0,0,0,0, 2.87 , 29.60 ,11,11, 12.35 , 8.23 , 2.77 ,0,2,20
2,1,5,19,12,7,0,1,0,0,0,0,0,0,10,8,1,1,0,0,0,0,0,0, 2.99 , 29.54 ,6,6, 12.35 , 8.23 , 2.23 ,0,2,20
2,1,5,20,12,7,0,1,0,0,0,0,0,0,3,6,5,3,2,1,0,0,0,0, 2.71 , 29.26 ,19,19, 12.35 , 8.23 , 10.77 ,0,2,20
2,2,1,1,4,4,0,1,3,2,1,2,0,0,1,1,1,1,1,2,5,1,1,3, 2.83 , 17.83 ,66,66, 35.18 , 23.45 , 42.55 ,0,2,17
2,2,1,2,4,4,0,1,3,2,1,2,0,0,10,0,0,0,0,0,3,4,0,0, 2.74 , 17.74 ,0,0, 35.18 , 23.45 , 23.45 ,0,2,17
2,2,1,3,4,4,0,1,3,2,1,2,0,0,0,0,0,3,4,5,5,0,0,0, 2.77 , 17.77 ,41,41, 35.18 , 23.45 , 17.55 ,0,2,17
2,2,1,4,4,4,0,1,3,2,1,2,0,0,0,1,0,3,0,2,1,7,2,1, 2.76 , 17.76 ,78,78, 35.18 , 23.45 , 54.55 ,0,2,17
2,2,1,5,4,4,0,1,3,2,1,2,0,0,3,5,6,2,1,0,0,0,0,0, 12.82 , 27.82 ,17,17, 35.18 , 23.45 , 6.45 ,1,2,17
2,2,1,6,4,4,0,1,3,2,1,2,0,0,0,0,0,4,5,7,1,0,0,0, 2.74 , 17.74 ,55,55, 35.18 , 23.45 , 31.55 ,0,2,17
2,2,1,7,4,4,0,1,3,2,1,2,0,0,1,1,3,5,5,2,0,0,0,0, 2.82 , 17.82 ,8,8, 35.18 , 23.45 , 15.45 ,0,2,17
2,2,1,8,4,4,0,1,3,2,1,2,0,0,1,2,2,3,2,3,1,1,1,1, 2.91 , 17.91 ,50,50, 35.18 , 23.45 , 26.55 ,0,2,17
2,2,1,9,4,4,0,1,3,2,1,2,0,0,0,1,2,2,2,2,2,2,2,2, 2.86 , 17.86 ,60,60, 35.18 , 23.45 , 36.55 ,0,2,17
2,2,1,10,4,4,0,1,3,2,1,2,0,0,3,3,5,3,1,1,1,0,0,0, 2.86 , 17.86 ,15,15, 35.18 , 23.45 , 8.45 ,0,2,17
2,2,1,11,4,4,0,1,3,2,1,2,0,0,0,0,0,1,2,1,4,6,2,1, 2.78 , 17.78 ,80,80, 35.18 , 23.45 , 56.55 ,0,2,17
2,2,1,12,4,4,0,1,3,2,1,2,0,0,0,0,1,3,3,4,6,0,0,0, 2.76 , 17.76 ,37,37, 35.18 , 23.45 , 13.55 ,0,2,17
2,2,1,13,4,4,0,1,3,2,1,2,0,0,1,7,3,1,1,3,1,0,0,0, 12.88 , 27.88 ,17,17, 35.18 , 23.45 , 6.45 ,1,2,17
2,2,1,14,4,4,0,1,3,2,1,2,0,0,0,0,2,4,5,5,1,0,0,0, 2.79 , 17.79 ,43,43, 35.18 , 23.45 , 19.55 ,0,2,17
2,2,1,15,4,4,0,1,3,2,1,2,0,0,3,4,4,3,2,1,0,0,0,0, 2.90 , 17.90 ,9,9, 35.18 , 23.45 , 14.45 ,0,2,17
2,2,1,16,4,4,0,1,3,2,1,2,0,0,1,3,1,2,5,2,0,2,1,0, 2.94 , 17.94 ,9,9, 35.18 , 23.45 , 14.45 ,0,2,17
2,2,1,17,4,4,0,1,3,2,1,2,0,0,1,3,6,6,1,0,0,0,0,0, 2.71 , 17.71 ,13,13, 35.18 , 23.45 , 10.45 ,0,2,17
2,2,2,1,3,5,2,5,0,0,1,1,0,0,2,1,1,1,3,3,2,1,1,2, 2.80 , 20.63 ,66,66, 27.53 , 18.35 , 47.65 ,0,1,17
2,2,2,2,3,5,2,5,0,0,1,1,0,0,0,4,8,4,0,1,0,0,0,0, 2.83 , 20.57 ,25,25, 27.53 , 18.35 , 6.65 ,0,1,17
2,2,2,3,3,5,2,5,0,0,1,1,0,0,0,0,3,4,5,5,0,0,0,0, 2.70 , 20.47 ,31,31, 27.53 , 18.35 , 12.65 ,0,1,17
2,2,2,4,3,5,2,5,0,0,1,1,0,0,0,2,3,3,3,3,1,2,0,0, 2.85 , 20.62 ,78,78, 27.53 , 18.35 , 59.65 ,0,1,17
2,2,2,5,3,5,2,5,0,0,1,1,0,0,3,7,5,2,0,0,0,0,0,0, 2.92 , 30.74 ,13,13, 27.53 , 18.35 , 5.35 ,0,1,17
2,2,2,6,3,5,2,5,0,0,1,1,0,0,1,0,0,7,5,4,0,0,0,0, 2.72 , 20.47 ,38,38, 27.53 , 18.35 , 19.65 ,0,1,17
2,2,2,7,3,5,2,5,0,0,1,1,0,0,7,7,3,0,0,0,0,0,0,0, 2.83 , 20.65 ,6,6, 27.53 , 18.35 , 12.35 ,0,1,17
2,2,2,8,3,5,2,5,0,0,1,1,0,0,3,6,5,2,1,0,0,0,0,0, 2.92 , 20.83 ,16,16, 27.53 , 18.35 , 2.35 ,0,1,17
2,2,2,9,3,5,2,5,0,0,1,1,0,0,4,4,2,2,2,1,1,1,0,0, 2.94 , 20.81 ,25,25, 27.53 , 18.35 , 6.65 ,0,1,17
2,2,2,10,3,5,2,5,0,0,1,1,0,0,3,4,4,3,3,0,0,0,0,0, 2.93 , 20.79 ,10,10, 27.53 , 18.35 , 8.35 ,0,1,17
2,2,2,11,3,5,2,5,0,0,1,1,0,0,1,1,6,6,2,1,0,0,0,0, 2.85 , 20.63 ,40,40, 27.53 , 18.35 , 21.65 ,0,1,17
2,2,2,12,3,5,2,5,0,0,1,1,0,0,3,5,5,3,1,0,0,0,0,0, 2.94 , 20.70 ,15,15, 27.53 , 18.35 , 3.35 ,0,1,17
2,2,2,13,3,5,2,5,0,0,1,1,0,0,1,4,5,3,2,1,1,0,0,0, 22.92 , 50.79 ,17,17, 27.53 , 18.35 , 1.35 ,1,1,17
2,2,2,14,3,5,2,5,0,0,1,1,0,0,2,3,4,4,3,1,0,0,0,0, 2.92 , 20.71 ,31,31, 27.53 , 18.35 , 12.65 ,0,1,17
2,2,2,15,3,5,2,5,0,0,1,1,0,0,6,6,5,0,0,0,0,0,0,0, 2.84 , 20.74 ,9,9, 27.53 , 18.35 , 9.35 ,0,1,17
2,2,2,16,3,5,2,5,0,0,1,1,0,0,3,2,0,8,1,1,1,1,0,0, 2.92 , 20.85 ,35,35, 27.53 , 18.35 , 16.65 ,0,1,17
2,2,2,17,3,5,2,5,0,0,1,1,0,0,0,2,12,3,0,0,0,0,0,0, 2.57 , 20.28 ,13,13, 27.53 , 18.35 , 5.35 ,0,1,17
2,2,3,1,0,14,2,1,0,0,0,0,0,0,1,3,2,2,2,2,2,1,1,1, 2.52 , 23.15 ,20,20, 17.35 , 11.57 , 8.43 ,0,1,17
2,2,3,2,0,14,2,1,0,0,0,0,0,0,2,2,0,0,0,4,4,4,1,0, 2.30 , 22.87 ,14,14, 17.35 , 11.57 , 2.43 ,0,1,17
2,2,3,3,0,14,2,1,0,0,0,0,0,0,0,5,3,3,1,5,0,0,0,0, 2.61 , 23.08 ,21,21, 17.35 , 11.57 , 9.43 ,0,1,17
2,2,3,4,0,14,2,1,0,0,0,0,0,0,5,4,1,4,2,1,0,0,0,0, 2.52 , 23.13 ,39,39, 17.35 , 11.57 , 27.43 ,0,1,17
2,2,3,5,0,14,2,1,0,0,0,0,0,0,2,9,6,0,0,0,0,0,0,0, 2.84 , 33.58 ,15,15, 17.35 , 11.57 , 3.43 ,0,1,17
2,2,3,6,0,14,2,1,0,0,0,0,0,0,2,10,4,1,0,0,0,0,0,0, 2.92 , 23.38 ,15,15, 17.35 , 11.57 , 3.43 ,0,1,17
2,2,3,7,0,14,2,1,0,0,0,0,0,0,5,10,2,0,0,0,0,0,0,0, 2.85 , 23.51 ,13,13, 17.35 , 11.57 , 1.43 ,0,1,17
2,2,3,8,0,14,2,1,0,0,0,0,0,0,1,6,6,3,1,0,0,0,0,0, 2.70 , 23.54 ,14,14, 17.35 , 11.57 , 2.43 ,0,1,17
2,2,3,9,0,14,2,1,0,0,0,0,0,0,4,4,4,2,1,1,1,0,0,0, 2.57 , 23.38 ,30,30, 17.35 , 11.57 , 18.43 ,0,1,17
2,2,3,10,0,14,2,1,0,0,0,0,0,0,4,8,3,2,0,0,0,0,0,0, 22.81 , 43.61 ,12,12, 17.35 , 11.57 , 0.43 ,1,1,17
2,2,3,11,0,14,2,1,0,0,0,0,0,0,3,8,3,3,0,0,0,0,0,0, 2.83 , 23.45 ,16,16, 17.35 , 11.57 , 4.43 ,0,1,17
2,2,3,12,0,14,2,1,0,0,0,0,0,0,3,14,0,0,0,0,0,0,0,0, 2.95 , 23.65 ,13,13, 17.35 , 11.57 , 1.43 ,0,1,17
2,2,3,13,0,14,2,1,0,0,0,0,0,0,3,5,5,3,1,0,0,0,0,0, 2.64 , 53.43 ,11,11, 17.35 , 11.57 , 0.57 ,0,1,17
2,2,3,14,0,14,2,1,0,0,0,0,0,0,4,6,3,2,0,1,1,0,0,0, 2.71 , 23.42 ,17,17, 17.35 , 11.57 , 5.43 ,0,1,17
2,2,3,15,0,14,2,1,0,0,0,0,0,0,6,6,5,0,0,0,0,0,0,0, 2.62 , 23.36 ,13,13, 17.35 , 11.57 , 1.43 ,0,1,17
2,2,3,16,0,14,2,1,0,0,0,0,0,0,3,6,4,2,1,1,0,0,0,0, 2.72 , 23.58 ,19,19, 17.35 , 11.57 , 7.43 ,0,1,17
2,2,3,17,0,14,2,1,0,0,0,0,0,0,3,8,5,1,0,0,0,0,0,0, 2.81 , 23.09 ,13,13, 17.35 , 11.57 , 1.43 ,0,1,17
2,2,4,1,10,4,2,0,0,0,1,0,0,0,7,5,5,0,0,0,0,0,0,0, 2.93 , 26.08 ,8,8, 14.82 , 9.88 , 1.88 ,0,1,17
2,2,4,2,10,4,2,0,0,0,1,0,0,0,12,1,0,1,1,0,2,0,0,0, 2.93 , 25.80 ,65,65, 14.82 , 9.88 , 55.12 ,0,1,17
