Ensayo, Estimulo, Respuesta, Correcto, Aciertos, Errores, Hits, ContadorH, Rechazos, ContadorR, Falsas alarmas, ContadorF, Omisiones, ContadorM, Confidence, RTime1, RTime1b, RTime2, Color, ,,,,
625,23,s,1,432,194,1,216,False,216,False,99,False,95,5,2.950435877,1.449281931,0.40298605,Azul,,,,,
414,24,s,1,279,136,1,124,False,155,False,56,False,80,6,1.646870852,0.14582181,0.601490974,Naranja,,,,,
610,25,s,1,421,190,1,210,False,211,False,97,False,93,6,3.356131077,1.855066061,0.501839876,Purpura,,,,,
291,26,s,1,188,104,1,77,False,111,False,36,False,68,6,1.652458906,0.15139389,0.701712847,Azul,,,,,
304,27,s,1,199,106,1,83,False,116,False,36,False,70,6,1.651463032,0.150296926,0.501247883,Naranja,,,,,
238,28,s,1,148,91,1,57,False,91,False,27,False,64,6,1.651614189,0.150516033,0.100407124,Verde,,,,,
565,29,s,1,388,178,1,189,False,199,False,87,False,91,6,2.152876139,0.651767969,0.601583958,Azul,,,,,
308,30,s,1,202,107,1,86,False,116,False,37,False,70,6,1.851108789,0.349912882,0.702212811,Naranja,,,,,
460,31,s,1,317,144,1,148,False,169,False,59,False,85,6,1.651067972,0.149941921,0.501302958,Verde,,,,,
300,32,s,1,195,106,1,81,False,114,False,36,False,70,6,1.652853966,0.151741028,2.205394983,Purpura,,,,,
97,33,s,1,44,54,1,3,False,41,False,2,False,52,6,3.25506711,1.753964901,0.601562977,Naranja,,,,,
257,34,s,1,164,94,1,66,False,98,False,30,False,64,6,1.651539087,0.150416136,0.701933861,Verde,,,,,
577,35,s,1,399,179,1,196,False,203,False,87,False,92,6,1.651689053,0.150455952,0.401145935,Purpura,,,,,
466,36,s,1,323,144,1,151,False,172,False,59,False,85,5,2.15301013,0.651924133,0.80250001,Azul,,,,,
389,37,n,False,260,130,False,114,False,146,False,53,1,77,3,1.652776003,0.151649952,1.20314312,Verde,,,,,
438,38,s,1,299,140,1,139,False,160,False,56,False,84,6,1.651790142,0.150663137,0.701681852,Purpura,,,,,
482,39,s,1,337,146,1,161,False,176,False,60,False,86,6,1.652453184,0.152132034,0.501077175,Azul,,,,,
612,40,s,1,423,190,1,211,False,212,False,97,False,93,6,2.853894949,1.352682829,0.601503849,Naranja,,,,,
8,41,n,False,2,7,False,0,False,2,False,0,1,7,1,2.341864109,0.841430902,0.702028036,Purpura,,,,,
542,42,n,False,375,168,False,185,False,190,False,79,1,89,2,9.566148996,8.065085888,1.002668142,Azul,,,,,
458,43,s,1,315,144,1,146,False,169,False,59,False,85,6,2.047569036,0.546493053,1.102891207,Naranja,,,,,
334,44,n,False,223,112,False,95,False,128,False,40,1,72,2,1.646778107,0.145612001,0.80195713,Verde,,,,,
70,45,n,False,31,40,False,0,False,31,False,0,1,40,1,1.947773933,0.44660902,0.3010149,Azul,,,,,
236,46,s,1,146,91,1,55,False,91,False,27,False,64,6,1.646927118,0.145766973,0.200619936,Naranja,,,,,
633,47,n,False,437,197,False,220,False,217,False,100,1,97,1,3.745896816,2.244781017,0.501861811,Verde,,,,,
616,48,s,1,426,191,1,214,False,212,False,97,False,94,4,1.747375011,0.246791124,0.60155201,Purpura,,,,,
153,49,s,1,85,69,1,19,False,66,False,8,False,61,6,1.647011995,0.145884037,0.802031994,Naranja,,,,,
252,50,s,1,160,93,1,64,False,96,False,29,False,64,5,5.456408978,3.955334902,0.501293898,Verde,,,,,
163,51,s,1,94,70,1,24,False,70,False,9,False,61,6,2.449115992,0.948490858,1.202996969,Purpura,,,,,
632,52,s,1,437,196,1,220,False,217,False,100,False,96,6,2.248487949,0.747378826,0.601590157,Azul,,,,,
316,53,s,1,208,109,1,89,False,119,False,38,False,71,6,1.646900892,0.145797968,0.601691008,Verde,,,,,
318,54,s,1,210,109,1,90,False,120,False,38,False,71,6,1.647083044,0.145996094,0.702182055,Purpura,,,,,
391,55,s,1,261,131,1,115,False,146,False,53,False,78,5,1.64132905,0.140228033,0.802270889,Azul,,,,,
43,56,n,False,19,25,False,0,False,19,False,0,1,25,1,2.248503923,0.747338057,0.501154184,Naranja,,,,,
419,57,s,1,283,137,1,128,False,155,False,56,False,81,6,1.653268814,0.152112007,0.401129961,Purpura,,,,,
133,58,n,False,70,64,False,15,False,55,False,5,1,59,2,1.651628017,0.150479078,0.802086115,Azul,,,,,
63,59,n,False,28,36,False,0,False,28,False,0,1,36,2,2.754343033,1.253270864,0.902498007,Naranja,,,,,
335,60,s,1,224,112,1,96,False,128,False,40,False,72,6,2.354173899,0.853961945,0.501322031,Verde,,,,,
434,61,s,1,295,140,1,136,False,159,False,56,False,84,6,1.652043104,0.150899887,0.601611137,Azul,,,,,
620,62,s,1,429,192,1,215,False,214,False,98,False,94,4,2.955870867,1.454684019,0.601691961,Naranja,,,,,
25,63,n,False,11,15,False,0,False,11,False,0,1,15,1,2.553726196,1.05253315,1.002908945,Verde,,,,,
75,64,n,False,33,43,False,0,False,33,False,0,1,43,1,1.650654078,0.149573088,0.401068926,Purpura,,,,,
569,65,s,1,391,179,1,191,False,200,False,87,False,92,5,1.651659966,0.15053606,0.501352787,Naranja,,,,,
32,66,n,False,14,19,False,0,False,14,False,0,1,19,2,2.555165052,1.054430962,0.501285076,Verde,,,,,
176,67,s,1,99,78,1,26,False,73,False,14,False,64,6,1.85184598,0.350773096,0.701794863,Purpura,,,,,
342,68,s,1,229,114,1,99,False,130,False,41,False,73,6,1.650519848,0.149343967,1.804567814,Azul,,,,,
7,69,n,False,2,6,False,0,False,2,False,0,1,6,2,3.054445982,1.553411007,1.203604937,Verde,,,,,
398,70,s,1,268,131,1,120,False,148,False,53,False,78,5,1.651062012,0.14992094,0.701881886,Purpura,,,,,
15,71,n,False,5,11,False,0,False,5,False,0,1,11,2,2.754824877,1.253746033,0.802473068,Azul,,,,,
3,72,n,False,2,2,False,0,False,2,False,0,1,2,2,3.355744123,1.854599953,1.704265118,Naranja,,,,,
405,73,s,1,274,132,1,122,False,152,False,54,False,78,6,1.648066998,0.147027016,0.70194602,Purpura,,,,,
184,74,s,1,103,82,1,29,False,74,False,18,False,64,6,2.249154091,0.748019934,0.501287937,Azul,,,,,
443,75,s,1,304,140,1,142,False,162,False,56,False,84,6,1.647047043,0.145931005,0.501387835,Naranja,,,,,
90,76,n,False,39,52,False,0,False,39,False,1,1,51,2,2.850592852,1.34954381,0.702419996,Verde,,,,,
265,77,s,1,170,96,1,68,False,102,False,30,False,66,5,3.451153994,1.950108051,1.002362967,Azul,,,,,
392,78,s,1,262,131,1,116,False,146,False,53,False,78,6,1.648139,0.147009134,0.401322126,Naranja,,,,,
332,79,s,1,222,111,1,95,False,127,False,40,False,71,6,1.645867825,0.144705057,0.401220083,Verde,,,,,
452,80,s,1,311,142,1,144,False,167,False,58,False,84,6,1.64664197,0.145606995,1.203280926,Purpura,,,,,
442,81,s,1,303,140,1,141,False,162,False,56,False,84,6,1.651659012,0.151180029,0.401309013,Naranja,,,,,
540,82,s,1,375,166,1,185,False,190,False,78,False,88,5,2.955303907,1.454218864,1.503734827,Verde,,,,,
106,83,s,1,50,57,1,6,False,44,False,2,False,55,6,4.456844091,2.955648899,1.102655172,Purpura,,,,,
338,84,s,1,226,113,1,98,False,128,False,40,False,73,6,2.749401808,1.248321056,0.501218081,Azul,,,,,
326,85,s,1,217,110,1,93,False,124,False,39,False,71,6,1.948086977,0.446996927,0.701911926,Verde,,,,,
396,86,s,1,266,131,1,119,False,147,False,53,False,78,6,1.651588917,0.151035786,1.203196049,Purpura,,,,,
586,87,s,1,405,182,1,199,False,206,False,89,False,93,6,1.647342205,0.146202087,0.501235008,Azul,,,,,
517,88,s,1,360,158,1,175,False,185,False,71,False,87,6,1.852053165,0.350871086,0.601580143,Naranja,,,,,
104,89,n,False,48,57,False,4,False,44,False,2,1,55,2,2.35439086,0.853332043,0.50187993,Purpura,,,,,
437,90,s,1,298,140,1,138,False,160,False,56,False,84,5,1.851718903,0.350614071,0.50117588,Azul,,,,,
207,91,s,1,125,83,1,41,False,84,False,19,False,64,5,1.652132034,0.151002884,0.802254915,Naranja,,,,,
494,92,s,1,345,150,1,165,False,180,False,64,False,86,6,1.652238131,0.151772976,0.501283169,Verde,,,,,
533,93,s,1,369,165,1,182,False,187,False,78,False,87,6,1.951451063,0.450293064,0.702098846,Azul,,,,,
222,94,s,1,136,87,1,47,False,89,False,23,False,64,5,1.652241945,0.15116787,1.60384202,Naranja,,,,,
140,95,s,1,73,68,1,16,False,57,False,8,False,60,6,1.651576042,0.150393009,0.801721811,Verde,,,,,
217,96,s,1,133,85,1,45,False,88,False,21,False,64,6,1.751009226,0.249919176,1.202715874,Purpura,,,,,
211,97,s,1,129,83,1,43,False,86,False,19,False,64,6,1.651355982,0.150292873,0.601584911,Naranja,,,,,
227,98,s,1,139,89,1,50,False,89,False,25,False,64,6,1.651087046,0.149892807,0.701945066,Verde,,,,,
576,99,s,1,398,179,1,195,False,203,False,87,False,92,5,1.651606083,0.150461912,0.300702095,Purpura,,,,,
524,100,s,1,363,162,1,177,False,186,False,75,False,87,5,1.751572132,0.250463963,2.004850149,Azul,,,,,
574,101,s,1,396,179,1,194,False,202,False,87,False,92,5,1.652113914,0.150930882,0.401080847,Verde,,,,,
418,102,s,1,282,137,1,127,False,155,False,56,False,81,6,1.650580168,0.150130987,0.400933981,Purpura,,,,,
568,103,s,1,390,179,1,190,False,200,False,87,False,92,6,1.85205102,0.351120949,0.601490974,Azul,,,,,
591,104,s,1,408,184,1,201,False,207,False,91,False,93,5,1.651673079,0.150605917,0.300845146,Naranja,,,,,
37,105,n,False,15,23,False,0,False,15,False,0,1,23,1,2.248522997,0.747466087,0.501811028,Purpura,,,,,
121,106,s,1,62,60,1,11,False,51,False,3,False,57,5,3.04184103,1.540795088,0.401067019,Azul,,,,,
280,107,n,False,179,102,False,71,False,108,False,34,1,68,1,1.948730946,0.447628021,0.401144981,Naranja,,,,,
331,108,s,1,221,111,1,94,False,127,False,40,False,71,6,1.638525009,0.137409925,0.70232892,Verde,,,,,
22,109,n,False,10,13,False,0,False,10,False,0,1,13,1,2.750682831,1.249532938,0.601560831,Azul,,,,,
243,110,s,1,151,93,1,59,False,92,False,29,False,64,6,1.740940809,0.239773035,0.602082014,Naranja,,,,,
246,111,s,1,154,93,1,61,False,93,False,29,False,64,6,2.141184092,0.640133142,0.601737976,Verde,,,,,
323,112,s,1,214,110,1,92,False,122,False,39,False,71,6,1.746906042,0.245733023,1.103031874,Purpura,,,,,
637,113,s,1,440,198,1,221,False,219,False,101,False,97,6,1.652703047,0.151571035,0.401247978,Naranja,,,,,
55,114,n,False,25,31,False,0,False,25,False,0,1,31,1,1.852116108,0.351112127,0.601466894,Verde,,,,,
28,115,n,False,12,17,False,0,False,12,False,0,1,17,1,1.654073,0.152895927,2.005016804,Purpura,,,,,
1,116,n,False,1,1,False,0,False,1,False,0,1,1,1,4.043401003,2.542240858,1.804481983,Azul,,,,,
319,117,s,1,211,109,1,91,False,120,False,38,False,71,6,1.65258503,0.151456833,0.401079178,Verde,,,,,
212,118,s,1,130,83,1,44,False,86,False,19,False,64,5,3.953092098,2.451935053,0.902500868,Purpura,,,,,
6,119,n,False,2,5,False,0,False,2,False,0,1,5,2,2.653960943,1.152868986,0.902760983,Azul,,,,,
628,120,s,1,434,195,1,217,False,217,False,100,False,95,5,1.651992083,0.150780916,0.401418924,Naranja,,,,,
354,121,s,1,239,116,1,105,False,134,False,43,False,73,6,1.651735067,0.150602102,0.501435041,Purpura,,,,,
193,122,s,1,111,83,1,33,False,78,False,19,False,64,6,1.651653051,0.150472879,0.80240798,Azul,,,,,
454,123,s,1,313,142,1,145,False,168,False,58,False,84,5,1.651036024,0.149832964,0.501492023,Naranja,,,,,
228,124,s,1,140,89,1,51,False,89,False,25,False,64,6,1.652167082,0.150982857,1.303534031,Verde,,,,,
224,125,s,1,138,87,1,49,False,89,False,23,False,64,5,1.651438951,0.150329828,0.60167408,Azul,,,,,
276,126,s,1,178,99,1,70,False,108,False,32,False,67,6,1.651551962,0.150509834,0.601706028,Naranja,,,,,
256,127,s,1,163,94,1,65,False,98,False,30,False,64,6,1.652565002,0.151372194,0.501642942,Verde,,,,,
351,128,s,1,236,116,1,102,False,134,False,43,False,73,6,1.652524948,0.151386976,0.501293182,Purpura,,,,,
100,129,s,1,46,55,1,4,False,42,False,2,False,53,6,2.855259895,1.354193926,0.801804066,Naranja,,,,,
234,130,s,1,145,90,1,54,False,91,False,26,False,64,6,1.651571989,0.150441885,0.401185989,Verde,,,,,
108,131,s,1,52,57,1,7,False,45,False,2,False,55,6,3.355676174,1.854623079,0.60153985,Purpura,,,,,
232,132,s,1,143,90,1,53,False,90,False,26,False,64,6,1.651247978,0.150087118,0.401134014,Azul,,,,,
463,133,s,1,320,144,1,149,False,171,False,59,False,85,5,1.652691841,0.151647806,0.501356125,Verde,,,,,
143,134,s,1,75,69,1,17,False,58,False,8,False,61,6,2.553637981,1.052564859,0.701784849,Purpura,,,,,
615,135,s,1,425,191,1,213,False,212,False,97,False,94,6,1.651437998,0.15029192,0.601729155,Azul,,,,,
91,136,s,1,40,52,1,1,False,39,False,1,False,51,6,3.356558084,1.855373144,1.804377079,Naranja,,,,,
113,137,s,1,57,57,1,9,False,48,False,2,False,55,6,2.348932028,0.847798109,1.003044844,Purpura,,,,,
266,138,n,False,170,97,False,68,False,102,False,30,1,67,3,1.651913166,0.150802135,1.704139948,Azul,,,,,
314,139,s,1,206,109,1,88,False,118,False,38,False,71,6,1.651391029,0.150337934,2.005432844,Naranja,,,,,
613,140,s,1,424,190,1,212,False,212,False,97,False,93,6,1.94746089,0.446312904,0.501600027,Verde,,,,,
64,141,n,False,28,37,False,0,False,28,False,0,1,37,1,2.149318933,0.648199081,0.802056074,Azul,,,,,
126,142,s,1,65,62,1,13,False,52,False,4,False,58,6,1.948862076,0.447688103,1.102833986,Naranja,,,,,
306,143,s,1,200,107,1,84,False,116,False,37,False,70,6,1.647716045,0.146535873,0.501233816,Verde,,,,,
514,144,s,1,357,158,1,172,False,185,False,71,False,87,6,1.648141861,0.146983862,0.801965952,Purpura,,,,,
415,145,s,1,280,136,1,125,False,155,False,56,False,80,6,1.652886868,0.151762962,0.401026964,Naranja,,,,,
223,146,s,1,137,87,1,48,False,89,False,23,False,64,6,1.752350092,0.251192093,0.601606846,Verde,,,,,
350,147,s,1,235,116,1,101,False,134,False,43,False,73,6,1.651160955,0.150001049,1.203259945,Purpura,,,,,
478,148,s,1,333,146,1,158,False,175,False,60,False,86,6,2.152878046,0.651705027,1.002526045,Azul,,,,,
210,149,s,1,128,83,1,42,False,86,False,19,False,64,6,1.651551008,0.150519133,0.601569891,Verde,,,,,
45,150,n,False,19,27,False,0,False,19,False,0,1,27,1,2.653082132,1.151987076,0.300831079,Purpura,,,,,
73,151,n,False,32,42,False,0,False,32,False,0,1,42,2,3.555298805,2.054173946,0.902451992,Azul,,,,,
205,152,s,1,123,83,1,40,False,83,False,19,False,64,6,1.651705027,0.150552034,0.601639032,Naranja,,,,,
237,153,s,1,147,91,1,56,False,91,False,27,False,64,6,1.751564026,0.250507116,0.401059866,Purpura,,,,,
78,154,n,False,35,44,False,0,False,35,False,0,1,44,1,1.651536942,0.150463104,0.200577974,Azul,,,,,
373,155,s,1,249,125,1,109,False,140,False,50,False,75,6,1.651548862,0.150393963,0.401086092,Naranja,,,,,
86,156,n,False,38,49,False,0,False,38,False,0,1,49,1,5.662474871,4.161329031,1.002665997,Verde,,,,,
71,157,n,False,31,41,False,0,False,31,False,0,1,41,1,2.653908014,1.152812004,0.300866842,Azul,,,,,
158,158,s,1,90,69,1,22,False,68,False,8,False,61,6,1.651567936,0.150516033,0.802042961,Naranja,,,,,
608,159,s,1,420,189,1,209,False,211,False,96,False,93,6,1.652628183,0.151494026,0.300787926,Verde,,,,,
242,160,s,1,150,93,1,58,False,92,False,29,False,64,6,1.651679993,0.150632858,0.50128603,Purpura,,,,,
527,161,s,False,364,164,False,178,False,186,1,77,False,87,5,1.65218401,0.151067019,0.401030064,Naranja,,,,,
59,162,n,1,27,33,False,0,1,27,False,0,False,33,1,2.453635931,0.952484131,0.300799847,Verde,,,,,
571,163,n,1,393,179,False,191,1,202,False,87,False,92,1,1.650585175,0.149368048,0.300712824,Purpura,,,,,
181,164,s,False,101,81,False,28,False,73,1,17,False,64,6,1.650515795,0.149414063,0.401205063,Azul,,,,,
183,165,n,1,102,82,False,28,1,74,False,18,False,64,2,1.95325613,0.452141047,1.203163147,Verde,,,,,
155,166,n,1,87,69,False,19,1,68,False,8,False,61,1,1.751779795,0.250575781,0.801875114,Purpura,,,,,
609,167,s,False,420,190,False,209,False,211,1,97,False,93,6,1.651683092,0.150434971,0.401542902,Azul,,,,,
393,168,n,1,263,131,False,116,1,147,False,53,False,78,3,1.651859999,0.150815964,1.403830051,Naranja,,,,,
41,169,n,1,18,24,False,0,1,18,False,0,False,24,1,2.249266148,0.748125076,0.400998831,Purpura,,,,,
214,170,n,1,131,84,False,44,1,87,False,20,False,64,3,3.050272942,1.549795151,2.606321096,Azul,,,,,
520,171,s,False,361,160,False,175,False,186,1,73,False,87,6,3.051460981,1.550332785,0.601547003,Naranja,,,,,
329,172,s,False,219,111,False,93,False,126,1,40,False,71,5,1.647505999,0.146388054,0.80212307,Verde,,,,,
462,173,n,1,319,144,False,148,1,171,False,59,False,85,1,1.645816803,0.144754171,0.300956011,Azul,,,,,
10,174,n,1,4,7,False,0,1,4,False,0,False,7,1,2.14785409,0.647086143,1.604082823,Naranja,,,,,
605,175,s,False,417,189,False,207,False,210,1,96,False,93,6,1.646991968,0.145811081,2.70676899,Verde,,,,,
575,176,n,1,397,179,False,194,1,203,False,87,False,92,1,1.748243809,0.247113943,0.601739883,Purpura,,,,,
382,177,s,False,255,128,False,112,False,143,1,53,False,75,6,1.646590948,0.145534039,0.401031017,Naranja,,,,,
253,178,s,False,160,94,False,64,False,96,1,30,False,64,6,1.947522879,0.446346998,0.80193305,Verde,,,,,
596,179,s,False,410,187,False,202,False,208,1,94,False,93,6,1.947706938,0.446539879,0.501315832,Purpura,,,,,
164,180,s,False,94,71,False,24,False,70,1,10,False,61,6,2.247883797,0.746735096,0.701555014,Azul,,,,,
241,181,n,1,149,93,False,57,1,92,False,29,False,64,1,2.348972082,0.847877979,0.601716995,Verde,,,,,
321,182,n,1,213,109,False,91,1,122,False,38,False,71,1,1.648025036,0.146946907,0.501325846,Purpura,,,,,
23,183,n,1,11,13,False,0,1,11,False,0,False,13,1,1.848566055,0.348283052,0.802410126,Azul,,,,,
510,184,n,1,355,156,False,171,1,184,False,69,False,87,1,1.645987988,0.144886971,0.501238108,Naranja,,,,,
76,185,n,1,34,43,False,0,1,34,False,0,False,43,1,2.25356102,0.752451897,0.40121603,Purpura,,,,,
519,186,s,False,361,159,False,175,False,186,1,72,False,87,5,1.652724981,0.151544809,1.203065872,Azul,,,,,
403,187,s,False,272,132,False,121,False,151,1,54,False,78,6,2.353339911,0.852170944,0.501335859,Naranja,,,,,
491,188,s,False,343,149,False,164,False,179,1,63,False,86,6,1.652323008,0.151168823,0.701889992,Verde,,,,,
555,189,n,1,380,176,False,187,1,193,False,86,False,90,1,1.652341127,0.151137114,0.501287937,Azul,,,,,
333,190,n,1,223,111,False,95,1,128,False,40,False,71,1,1.65128994,0.150606871,0.40120101,Naranja,,,,,
451,191,s,False,310,142,False,143,False,167,1,58,False,84,4,1.951370001,0.450281858,0.601614952,Verde,,,,,
412,192,n,1,277,136,False,122,1,155,False,56,False,80,1,1.651669979,0.15059495,0.501378059,Purpura,,,,,
444,193,s,False,304,141,False,142,False,162,1,57,False,84,6,1.651654005,0.150565147,0.501446009,Naranja,,,,,
180,194,s,False,101,80,False,28,False,73,1,16,False,64,6,1.652686119,0.151531935,0.802316189,Verde,,,,,
173,195,s,False,96,78,False,24,False,72,1,14,False,64,6,1.853150129,0.35195899,0.602123022,Purpura,,,,,
30,196,n,1,13,18,False,0,1,13,False,0,False,18,2,5.359719992,3.858638048,0.501267195,Azul,,,,,
490,197,s,False,343,148,False,164,False,179,1,62,False,86,5,1.652119875,0.151586056,0.300872803,Verde,,,,,
378,198,n,1,252,127,False,110,1,142,False,52,False,75,1,1.751327991,0.250127077,0.401072025,Purpura,,,,,
372,199,s,False,248,125,False,108,False,140,1,50,False,75,5,1.952450037,0.451275826,0.601697922,Azul,,,,,
512,200,n,1,356,157,False,171,1,185,False,70,False,87,2,5.260559082,3.759490967,1.404074907,Naranja,,,,,
0,201,n,1,1,0,False,0,1,1,False,0,False,0,1,6.459295988,4.95814085,3.308305979,Purpura,,,,,
367,202,s,False,246,122,False,107,False,139,1,47,False,75,6,1.645908833,0.144770145,0.501271009,Azul,,,,,
621,203,s,False,429,193,False,215,False,214,1,99,False,94,5,1.747267962,0.246072054,1.002552986,Naranja,,,,,
588,204,s,False,406,183,False,200,False,206,1,90,False,93,4,2.750272989,1.249060154,0.501351833,Verde,,,,,
162,205,n,1,93,70,False,23,1,70,False,9,False,61,3,2.242096901,0.740972042,3.608625889,Azul,,,,,
406,206,n,1,275,132,False,122,1,153,False,54,False,78,1,1.847672939,0.346560955,0.501244068,Naranja,,,,,
279,207,s,False,179,101,False,71,False,108,1,34,False,67,6,2.148197174,0.647109032,0.501273155,Verde,,,,,
339,208,n,1,227,113,False,98,1,129,False,40,False,73,1,1.648608923,0.147503853,0.501320839,Purpura,,,,,
289,209,s,False,186,104,False,75,False,111,1,36,False,68,5,2.850947857,1.349803925,1.303186893,Naranja,,,,,
595,210,s,False,410,186,False,202,False,208,1,93,False,93,6,4.655097008,3.153939009,1.203598022,Verde,,,,,
213,211,s,False,130,84,False,44,False,86,1,20,False,64,4,2.943992853,1.443325996,1.704180002,Purpura,,,,,
538,212,n,1,373,166,False,183,1,190,False,78,False,88,2,2.348731041,0.847563982,0.802212,Azul,,,,,
344,213,n,1,231,114,False,99,1,132,False,41,False,73,1,1.640744925,0.139622927,0.401283979,Verde,,,,,
320,214,n,1,212,109,False,91,1,121,False,38,False,71,1,1.847103834,0.345981836,0.601530075,Purpura,,,,,
260,215,n,1,167,94,False,67,1,100,False,30,False,64,1,1.651582003,0.150446892,0.401257992,Azul,,,,,
313,216,n,1,205,109,False,87,1,118,False,38,False,71,1,1.646780014,0.145651102,0.501228094,Naranja,,,,,
618,217,s,False,427,192,False,214,False,213,1,98,False,94,5,3.557152987,2.056053162,1.102945089,Purpura,,,,,
558,218,n,1,383,176,False,188,1,195,False,86,False,90,1,1.652191162,0.150981903,0.401124001,Azul,,,,,
623,219,n,1,431,193,False,215,1,216,False,99,False,94,1,1.654198885,0.153092146,0.400960207,Naranja,,,,,
359,220,s,False,241,119,False,105,False,136,1,44,False,75,5,1.652076006,0.150905848,0.601378918,Verde,,,,,
9,221,n,1,3,7,False,0,1,3,False,0,False,7,2,2.853206158,1.352083206,1.002380133,Azul,,,,,
52,222,n,1,24,29,False,0,1,24,False,0,False,29,1,2.153983116,0.653800964,0.501374006,Naranja,,,,,
492,223,s,False,343,150,False,164,False,179,1,64,False,86,6,1.651607037,0.150460005,0.501242876,Verde,,,,,
543,224,n,1,376,168,False,185,1,191,False,79,False,89,2,1.651896954,0.150773048,0.70157814,Purpura,,,,,
311,225,n,1,204,108,False,87,1,117,False,38,False,70,1,1.651688814,0.150538206,0.501425982,Naranja,,,,,
54,226,n,1,25,30,False,0,1,25,False,0,False,30,1,1.651647091,0.150512934,0.40128088,Verde,,,,,
203,227,n,1,121,83,False,38,1,83,False,19,False,64,1,1.652075052,0.150943995,0.300859928,Purpura,,,,,
363,228,s,False,243,121,False,105,False,138,1,46,False,75,5,2.956009865,1.454841852,0.802181005,Azul,,,,,
315,229,n,1,207,109,False,88,1,119,False,38,False,71,1,1.652176857,0.15101099,0.501193047,Verde,,,,,
42,230,n,1,19,24,False,0,1,19,False,0,False,24,2,2.152642012,0.65152216,1.403781176,Purpura,,,,,
169,231,s,False,94,76,False,24,False,70,1,13,False,63,5,2.955440044,1.454231024,0.501413107,Azul,,,,,
411,232,s,False,276,136,False,122,False,154,1,56,False,80,4,2.653990984,1.152833939,0.601588011,Naranja,,,,,
402,233,n,1,272,131,False,121,1,151,False,53,False,78,1,1.651964188,0.15084219,0.401211023,Purpura,,,,,
226,234,s,False,138,89,False,49,False,89,1,25,False,64,5,1.639630795,0.138571978,0.902416945,Azul,,,,,
513,235,s,False,356,158,False,171,False,185,1,71,False,87,6,1.748378992,0.247308969,0.902660131,Naranja,,,,,
461,236,n,1,318,144,False,148,1,170,False,59,False,85,1,1.647020102,0.145825148,0.401124954,Verde,,,,,
109,237,n,1,53,57,False,7,1,46,False,2,False,55,1,1.640918016,0.139771938,1.203361034,Azul,,,,,
