"","X","Ensayo","Estimulo","Respuesta","Correcto","Aciertos","Errores","Hits","ContadorH","Rechazos","ContadorR","Falsas.alarmas","ContadorF","Omisiones","ContadorM","Confidence","RTime1","RTime1b","RTime2","facilidad","num_circulos_externos","tam_circulos_externos","tamano_central","senal","color","tipo","choice","Exito","outcome","HR6","FR6","HR5","FR5","HR4","FR4","HR3","FR3","HR2","FR2","HR1","FR1"
"23",23,22,532,"s","False",17,6,"False",8,"False",9,"True",2,"False",4,5,2.436882973,0.936097145,0.802085161,"muchos",8,"over","2.5","ruido","naranja","2 BN",1,0,1,"0","0","0","1","0","1","0","1","0","1","0","1"
"24",24,23,220,"n","True",18,6,"False",8,"True",10,"False",2,"False",4,3,4.242028952,2.741080999,0.30069685,"pocos",3,"over","2.5","ruido","guinda","1 AN",0,1,3,"0","0","0","0","0","0","0","1","0","1","0","1"
"25",25,24,273,"n","True",19,6,"False",8,"True",11,"False",2,"False",4,1,2.737440109,1.236547947,0.40106988,"pocos",3,"under","1.5","ruido","azul","1 AN",0,1,3,"0","0","0","0","0","0","0","0","0","0","0","1"
"26",26,25,601,"n","True",20,6,"False",8,"True",12,"False",2,"False",4,1,2.436903954,0.935909986,0.401232958,"muchos",7,"over","1","ruido","naranja","2 BN",0,1,3,"0","0","0","0","0","0","0","0","0","0","0","1"
"27",27,26,241,"s","False",20,7,"False",8,"False",12,"True",3,"False",4,5,2.336862803,0.835723162,0.60154891,"pocos",2,"over","1.5","ruido","naranja","1 AN",1,0,1,"0","0","0","1","0","1","0","1","0","1","0","1"
"28",28,27,390,"s","True",21,7,"True",9,"False",12,"False",3,"False",4,6,2.437128067,0.936054945,1.203114033,"muchos",8,"over","2_o3","senal","guinda","3 BS",1,1,4,"1","0","1","0","1","0","1","0","1","0","1","0"
"29",29,28,296,"n","True",22,7,"False",9,"True",13,"False",3,"False",4,1,2.437024117,0.935972929,0.300810099,"pocos",3,"over","1","ruido","verde","1 AN",0,1,3,"0","0","0","0","0","0","0","0","0","0","0","1"
"30",30,29,4,"s","True",23,7,"True",10,"False",13,"False",3,"False",4,5,1.83535099,0.334349871,1.102702856,"pocos",2,"over","2_o2","senal","azul","4 AS",1,1,4,"0","0","1","0","1","0","1","0","1","0","1","0"
"31",31,30,584,"n","True",24,7,"False",10,"True",14,"False",3,"False",4,3,2.737603903,1.236759901,0.401051044,"muchos",7,"under","1.5","ruido","azul","2 BN",0,1,3,"0","0","0","0","0","0","0","1","0","1","0","1"
"32",32,31,354,"s","True",25,7,"True",11,"False",14,"False",3,"False",4,5,2.335319996,0.834171057,1.203022003,"muchos",7,"over","2_o2","senal","azul","3 BS",1,1,4,"0","0","1","0","1","0","1","0","1","0","1","0"
"33",33,32,510,"s","False",25,8,"False",11,"False",14,"True",4,"False",4,6,2.136097193,0.635001183,0.6014328,"muchos",7,"under","3","ruido","guinda","2 BN",1,0,1,"0","1","0","1","0","1","0","1","0","1","0","1"
"34",34,33,269,"n","True",26,8,"False",11,"True",15,"False",4,"False",4,3,2.33671689,0.83575511,0.601616144,"pocos",2,"under","1.5","ruido","guinda","1 AN",0,1,3,"0","0","0","0","0","0","0","1","0","1","0","1"
"35",35,34,39,"s","True",27,8,"True",12,"False",15,"False",4,"False",4,6,2.937819004,1.436968088,0.401062965,"pocos",2,"over","2_o2","senal","guinda","4 AS",1,1,4,"1","0","1","0","1","0","1","0","1","0","1","0"
"36",36,35,319,"n","True",28,8,"False",12,"True",16,"False",4,"False",4,2,2.136138916,0.635327816,0.300777912,"pocos",3,"under","1","ruido","guinda","1 AN",0,1,3,"0","0","0","0","0","0","0","0","0","1","0","1"
"37",37,36,478,"s","True",29,8,"True",13,"False",16,"False",4,"False",4,6,1.935599089,0.434898853,0.300927877,"muchos",8,"under","2_u3","senal","purpura","3 BS",1,1,4,"1","0","1","0","1","0","1","0","1","0","1","0"
"38",38,37,58,"s","True",30,8,"True",14,"False",16,"False",4,"False",4,5,2.135735989,0.635359049,0.401463032,"pocos",3,"over","2_o3","senal","purpura","4 AS",1,1,4,"0","0","1","0","1","0","1","0","1","0","1","0"
"39",39,38,528,"n","True",31,8,"False",14,"True",17,"False",4,"False",4,3,1.835539818,0.334805012,0.401239872,"muchos",7,"over","2.5","ruido","purpura","2 BN",0,1,3,"0","0","0","0","0","0","0","1","0","1","0","1"
"40",40,39,224,"s","False",31,9,"False",14,"False",17,"True",5,"False",4,5,2.235987902,0.735109091,0.802094221,"pocos",2,"under","2.5","ruido","azul","1 AN",1,0,1,"0","0","0","1","0","1","0","1","0","1","0","1"
"41",41,40,122,"s","True",32,9,"True",15,"False",17,"False",5,"False",4,6,3.039315939,1.538476944,1.102689028,"pocos",3,"under","2_u3","senal","naranja","4 AS",1,1,4,"1","0","1","0","1","0","1","0","1","0","1","0"
"42",42,41,423,"n","False",32,10,"False",15,"False",17,"False",5,"True",5,3,2.136230946,0.635152102,0.30085206,"muchos",7,"under","2_u2","senal","azul","3 BS",0,0,2,"0","0","0","0","0","0","1","0","1","0","1","0"
"43",43,42,91,"s","True",33,10,"True",16,"False",17,"False",5,"False",5,5,1.935602903,0.434929848,0.400896072,"pocos",2,"under","2_u2","senal","naranja","4 AS",1,1,4,"0","0","1","0","1","0","1","0","1","0","1","0"
"44",44,43,38,"s","True",34,10,"True",17,"False",17,"False",5,"False",5,6,2.236999989,0.736096859,1.103199005,"pocos",2,"over","2_o2","senal","purpura","4 AS",1,1,4,"1","0","1","0","1","0","1","0","1","0","1","0"
"45",45,44,393,"n","False",34,11,"False",17,"False",17,"False",5,"True",6,3,2.737858057,1.236799002,0.301341057,"muchos",8,"over","2_o3","senal","azul","3 BS",0,0,2,"0","0","0","0","0","0","1","0","1","0","1","0"
"46",46,45,445,"n","False",34,12,"False",17,"False",17,"False",5,"True",7,3,2.637364149,1.136332989,0.301007986,"muchos",8,"under","2_u3","senal","verde","3 BS",0,0,2,"0","0","0","0","0","0","1","0","1","0","1","0"
"47",47,46,547,"s","False",34,13,"False",17,"False",17,"True",6,"False",7,5,1.936273813,0.435534,0.302073002,"muchos",7,"under","2.5","ruido","purpura","2 BN",1,0,1,"0","0","0","1","0","1","0","1","0","1","0","1"
"48",48,47,587,"n","True",35,13,"False",17,"True",18,"False",6,"False",7,2,1.936055899,0.434940815,0.400973797,"muchos",7,"under","1.5","ruido","purpura","2 BN",0,1,3,"0","0","0","0","0","0","0","0","0","1","0","1"
"49",49,48,332,"s","True",36,13,"True",18,"False",18,"False",6,"False",7,6,1.735110044,0.234277964,0.401038885,"muchos",7,"over","2_o2","senal","naranja","3 BS",1,1,4,"1","0","1","0","1","0","1","0","1","0","1","0"
"50",50,49,580,"s","False",36,14,"False",18,"False",18,"True",7,"False",7,4,2.938490868,1.437824965,0.300820112,"muchos",8,"over","1.5","ruido","guinda","2 BN",1,0,1,"0","0","0","0","0","1","0","1","0","1","0","1"
"51",51,50,153,"n","False",36,15,"False",18,"False",18,"False",7,"True",8,2,2.136239052,0.635195017,0.401507854,"pocos",3,"under","2_u3","senal","azul","4 AS",0,0,2,"0","0","0","0","0","0","0","0","1","0","1","0"
"52",52,51,422,"s","True",37,15,"True",19,"False",18,"False",7,"False",8,4,2.637306929,1.136099815,0.300629854,"muchos",7,"under","2_u2","senal","naranja","3 BS",1,1,4,"0","0","0","0","1","0","1","0","1","0","1","0"
"53",53,52,143,"s","True",38,15,"True",20,"False",18,"False",7,"False",8,5,2.486823082,0.986160994,1.704013109,"pocos",3,"under","2_u3","senal","azul","4 AS",1,1,4,"0","0","1","0","1","0","1","0","1","0","1","0"
"54",54,53,535,"s","False",38,16,"False",20,"False",18,"True",8,"False",8,6,3.339091063,1.838067055,0.401134014,"muchos",8,"over","2.5","ruido","verde","2 BN",1,0,1,"0","1","0","1","0","1","0","1","0","1","0","1"
"55",55,54,376,"s","True",39,16,"True",21,"False",18,"False",8,"False",8,6,2.93827796,1.437310934,0.400967836,"muchos",8,"over","2_o3","senal","verde","3 BS",1,1,4,"1","0","1","0","1","0","1","0","1","0","1","0"
"56",56,55,612,"n","True",40,16,"False",21,"True",19,"False",8,"False",8,2,1.735610008,0.234817982,0.30072999,"muchos",8,"over","1","ruido","naranja","2 BN",0,1,3,"0","0","0","0","0","0","0","0","0","1","0","1"
"57",57,56,166,"n","True",41,16,"False",21,"True",20,"False",8,"False",8,1,2.735708952,1.235271931,0.300865173,"pocos",2,"over","3","ruido","verde","1 AN",0,1,3,"0","0","0","0","0","0","0","0","0","0","0","1"
"58",58,57,440,"s","True",42,16,"True",22,"False",20,"False",8,"False",8,4,2.637318134,1.137173176,0.300922155,"muchos",7,"under","2_u2","senal","guinda","3 BS",1,1,4,"0","0","0","0","1","0","1","0","1","0","1","0"
"59",59,58,485,"n","True",43,16,"False",22,"True",21,"False",8,"False",8,3,2.035732031,0.534614086,0.301342964,"muchos",7,"over","3","ruido","verde","2 BN",0,1,3,"0","0","0","0","0","0","0","1","0","1","0","1"
"60",60,59,588,"n","True",44,16,"False",22,"True",22,"False",8,"False",8,2,3.43866396,1.937485933,0.300806999,"muchos",7,"under","1.5","ruido","purpura","2 BN",0,1,3,"0","0","0","0","0","0","0","0","0","1","0","1"
"61",61,60,151,"s","True",45,16,"True",23,"False",22,"False",8,"False",8,6,2.035787821,0.534907818,0.200721979,"pocos",3,"under","2_u3","senal","naranja","4 AS",1,1,4,"1","0","1","0","1","0","1","0","1","0","1","0"
"62",62,61,593,"s","False",45,17,"False",23,"False",22,"True",9,"False",8,5,3.238643885,1.738108873,1.503792048,"muchos",8,"under","1.5","ruido","azul","2 BN",1,0,1,"0","0","0","1","0","1","0","1","0","1","0","1"
"63",63,62,434,"n","False",45,18,"False",23,"False",22,"False",9,"True",9,3,2.837985992,1.337219954,0.30073595,"muchos",7,"under","2_u2","senal","azul","3 BS",0,0,2,"0","0","0","0","0","0","1","0","1","0","1","0"
"64",64,63,282,"n","True",46,18,"False",23,"True",23,"False",9,"False",9,3,1.634856939,0.133759975,0.100342989,"pocos",2,"over","1","ruido","naranja","1 AN",0,1,3,"0","0","0","0","0","0","0","1","0","1","0","1"
"65",65,64,364,"s","True",47,18,"True",24,"False",23,"False",9,"False",9,5,1.735416889,0.234566927,0.30125308,"muchos",8,"over","2_o3","senal","azul","3 BS",1,1,4,"0","0","1","0","1","0","1","0","1","0","1","0"
"66",66,65,306,"n","True",48,18,"False",24,"True",24,"False",9,"False",9,1,2.336975098,0.836070061,0.501742125,"pocos",2,"under","1","ruido","verde","1 AN",0,1,3,"0","0","0","0","0","0","0","0","0","0","0","1"
"67",67,66,234,"s","False",48,19,"False",24,"False",24,"True",10,"False",9,5,2.537060022,1.03598094,0.601619005,"pocos",3,"under","2.5","ruido","azul","1 AN",1,0,1,"0","0","0","1","0","1","0","1","0","1","0","1"
"68",68,67,270,"n","True",49,19,"False",24,"True",25,"False",10,"False",9,2,4.74246788,3.242105007,1.002767086,"pocos",2,"under","1.5","ruido","guinda","1 AN",0,1,3,"0","0","0","0","0","0","0","0","0","1","0","1"
"69",69,68,597,"n","True",50,19,"False",24,"True",26,"False",10,"False",9,3,4.141222,2.640522957,0.400973082,"muchos",8,"under","1.5","ruido","purpura","2 BN",0,1,3,"0","0","0","0","0","0","0","1","0","1","0","1"
"70",70,69,158,"s","True",51,19,"True",25,"False",26,"False",10,"False",9,6,2.035741091,0.534756184,0.902245045,"pocos",3,"under","2_u3","senal","purpura","4 AS",1,1,4,"1","0","1","0","1","0","1","0","1","0","1","0"
"71",71,70,470,"s","True",52,19,"True",26,"False",26,"False",10,"False",9,5,1.635302782,0.134742975,0.400997877,"muchos",8,"under","2_u3","senal","guinda","3 BS",1,1,4,"0","0","1","0","1","0","1","0","1","0","1","0"
"72",72,71,325,"s","True",53,19,"True",27,"False",26,"False",10,"False",9,5,1.635316134,0.134349108,0.200576067,"muchos",7,"over","2_o2","senal","verde","3 BS",1,1,4,"0","0","1","0","1","0","1","0","1","0","1","0"
"73",73,72,531,"n","True",54,19,"False",27,"True",27,"False",10,"False",9,3,2.136492968,0.635369062,0.200495958,"muchos",8,"over","2.5","ruido","naranja","2 BN",0,1,3,"0","0","0","0","0","0","0","1","0","1","0","1"
"74",74,73,640,"n","True",55,19,"False",27,"True",28,"False",10,"False",9,1,3.940881014,2.439902067,0.30086112,"muchos",8,"under","1","ruido","guinda","2 BN",0,1,3,"0","0","0","0","0","0","0","0","0","0","0","1"
"75",75,74,636,"n","True",56,19,"False",27,"True",29,"False",10,"False",9,1,1.63488102,0.133988857,0.200630903,"muchos",8,"under","1","ruido","verde","2 BN",0,1,3,"0","0","0","0","0","0","0","0","0","0","0","1"
"76",76,75,315,"n","True",57,19,"False",27,"True",30,"False",10,"False",9,2,4.241631985,2.740864992,0.200592041,"pocos",3,"under","1","ruido","verde","1 AN",0,1,3,"0","0","0","0","0","0","0","0","0","1","0","1"
"77",77,76,543,"s","False",57,20,"False",27,"False",30,"True",11,"False",9,5,2.336656094,0.835816145,0.300928116,"muchos",7,"under","2.5","ruido","azul","2 BN",1,0,1,"0","0","0","1","0","1","0","1","0","1","0","1"
"78",78,77,6,"s","True",58,20,"True",28,"False",30,"False",11,"False",9,4,5.043478966,3.542484045,0.400969028,"pocos",2,"over","2_o2","senal","verde","4 AS",1,1,4,"0","0","0","0","1","0","1","0","1","0","1","0"
"79",79,78,267,"n","True",59,20,"False",28,"True",31,"False",11,"False",9,3,3.940756083,2.440056086,0.40102005,"pocos",2,"under","1.5","ruido","purpura","1 AN",0,1,3,"0","0","0","0","0","0","0","1","0","1","0","1"
"80",80,79,589,"s","False",59,21,"False",28,"False",31,"True",12,"False",9,5,3.138508081,1.637594938,0.300831079,"muchos",7,"under","1.5","ruido","guinda","2 BN",1,0,1,"0","0","0","1","0","1","0","1","0","1","0","1"
"81",81,80,615,"n","True",60,21,"False",28,"True",32,"False",12,"False",9,3,3.339460135,1.838351011,0.501725912,"muchos",8,"over","1","ruido","verde","2 BN",0,1,3,"0","0","0","0","0","0","0","1","0","1","0","1"
"82",82,81,456,"s","True",61,21,"True",29,"False",32,"False",12,"False",9,6,1.634883881,0.133834839,0.701767921,"muchos",8,"under","2_u3","senal","verde","3 BS",1,1,4,"1","0","1","0","1","0","1","0","1","0","1","0"
"83",83,82,616,"n","True",62,21,"False",29,"True",33,"False",12,"False",9,2,2.436903954,0.936070919,0.801900148,"muchos",8,"over","1","ruido","verde","2 BN",0,1,3,"0","0","0","0","0","0","0","0","0","1","0","1"
"84",84,83,350,"s","True",63,21,"True",30,"False",33,"False",12,"False",9,6,2.235929012,0.735476017,1.202847004,"muchos",7,"over","2_o2","senal","guinda","3 BS",1,1,4,"1","0","1","0","1","0","1","0","1","0","1","0"
"85",85,84,512,"s","False",63,22,"False",30,"False",33,"True",13,"False",9,6,1.735532999,0.235067844,0.300872087,"muchos",8,"under","3","ruido","naranja","2 BN",1,0,1,"0","1","0","1","0","1","0","1","0","1","0","1"
"86",86,85,32,"s","True",64,22,"True",31,"False",33,"False",13,"False",9,6,1.9354949,0.434715986,0.300774097,"pocos",2,"over","2_o2","senal","naranja","4 AS",1,1,4,"1","0","1","0","1","0","1","0","1","0","1","0"
"87",87,86,21,"s","True",65,22,"True",32,"False",33,"False",13,"False",9,6,1.636096001,0.135143042,0.300820112,"pocos",2,"over","2_o2","senal","naranja","4 AS",1,1,4,"1","0","1","0","1","0","1","0","1","0","1","0"
"88",88,87,181,"n","True",66,22,"False",32,"True",34,"False",13,"False",9,2,2.336567879,0.835723877,0.601845026,"pocos",2,"under","3","ruido","naranja","1 AN",0,1,3,"0","0","0","0","0","0","0","0","0","1","0","1"
"89",89,88,632,"n","True",67,22,"False",32,"True",35,"False",13,"False",9,1,2.236281872,0.735304832,0.301285028,"muchos",8,"under","1","ruido","naranja","2 BN",0,1,3,"0","0","0","0","0","0","0","0","0","0","0","1"
"90",90,89,358,"s","True",68,22,"True",33,"False",35,"False",13,"False",9,4,1.835417032,0.334745884,1.002513886,"muchos",7,"over","2_o2","senal","purpura","3 BS",1,1,4,"0","0","0","0","1","0","1","0","1","0","1","0"
"91",91,90,245,"n","True",69,22,"False",33,"True",36,"False",13,"False",9,3,1.835345984,0.33456707,0.300812006,"pocos",2,"over","1.5","ruido","verde","1 AN",0,1,3,"0","0","0","0","0","0","0","1","0","1","0","1"
"92",92,91,103,"n","False",69,23,"False",33,"False",36,"False",13,"True",10,2,2.737607956,1.237068892,0.601672888,"pocos",2,"under","2_u2","senal","azul","4 AS",0,0,2,"0","0","0","0","0","0","0","0","1","0","1","0"
"93",93,92,118,"s","True",70,23,"True",34,"False",36,"False",13,"False",10,5,1.835420847,0.334517002,1.002452135,"pocos",2,"under","2_u2","senal","purpura","4 AS",1,1,4,"0","0","1","0","1","0","1","0","1","0","1","0"
"94",94,93,42,"s","True",71,23,"True",35,"False",36,"False",13,"False",10,6,2.236341953,0.735539913,0.401143074,"pocos",3,"over","2_o3","senal","naranja","4 AS",1,1,4,"1","0","1","0","1","0","1","0","1","0","1","0"
"95",95,94,3,"s","True",72,23,"True",36,"False",36,"False",13,"False",10,5,1.835412979,0.334312201,0.50138092,"pocos",2,"over","2_o2","senal","azul","4 AS",1,1,4,"0","0","1","0","1","0","1","0","1","0","1","0"
"96",96,95,225,"s","False",72,24,"False",36,"False",36,"True",14,"False",10,6,1.635056019,0.134010077,0.401042938,"pocos",2,"under","2.5","ruido","verde","1 AN",1,0,1,"0","1","0","1","0","1","0","1","0","1","0","1"
"97",97,96,231,"n","True",73,24,"False",36,"True",37,"False",14,"False",10,3,2.938347101,1.437875032,0.200515985,"pocos",3,"under","2.5","ruido","naranja","1 AN",0,1,3,"0","0","0","0","0","0","0","1","0","1","0","1"
"98",98,97,432,"s","True",74,24,"True",37,"False",37,"False",14,"False",10,5,2.436576128,0.935516119,0.401199102,"muchos",7,"under","2_u2","senal","naranja","3 BS",1,1,4,"0","0","1","0","1","0","1","0","1","0","1","0"
"99",99,98,149,"s","True",75,24,"True",38,"False",37,"False",14,"False",10,6,1.935621023,0.4345119,0.301265001,"pocos",3,"under","2_u3","senal","guinda","4 AS",1,1,4,"1","0","1","0","1","0","1","0","1","0","1","0"
"100",100,99,70,"s","True",76,24,"True",39,"False",37,"False",14,"False",10,4,1.635257959,0.134291172,2.105552197,"pocos",3,"over","2_o3","senal","guinda","4 AS",1,1,4,"0","0","0","0","1","0","1","0","1","0","1","0"
"101",101,100,418,"n","False",76,25,"False",39,"False",37,"False",14,"True",11,3,2.436953068,0.935868025,0.300948858,"muchos",7,"under","2_u2","senal","purpura","3 BS",0,0,2,"0","0","0","0","0","0","1","0","1","0","1","0"
"102",102,101,538,"s","False",76,26,"False",39,"False",37,"True",15,"False",11,6,1.735180855,0.234637976,0.400990009,"muchos",8,"over","2.5","ruido","purpura","2 BN",1,0,1,"0","1","0","1","0","1","0","1","0","1","0","1"
"103",103,102,416,"n","False",76,27,"False",39,"False",37,"False",15,"True",12,2,2.737325192,1.236329079,0.501289129,"muchos",7,"under","2_u2","senal","verde","3 BS",0,0,2,"0","0","0","0","0","0","0","0","1","0","1","0"
"104",104,103,365,"s","True",77,27,"True",40,"False",37,"False",15,"False",12,5,2.637624025,1.137182951,0.401645899,"muchos",8,"over","2_o3","senal","verde","3 BS",1,1,4,"0","0","1","0","1","0","1","0","1","0","1","0"
"105",105,104,494,"n","True",78,27,"False",40,"True",38,"False",15,"False",12,3,2.536936998,1.036509991,0.300863028,"muchos",8,"over","3","ruido","azul","2 BN",0,1,3,"0","0","0","0","0","0","0","1","0","1","0","1"
"106",106,105,630,"n","True",79,27,"False",40,"True",39,"False",15,"False",12,1,2.035792112,0.534784079,0.20104599,"muchos",7,"under","1","ruido","guinda","2 BN",0,1,3,"0","0","0","0","0","0","0","0","0","0","0","1"
"107",107,106,513,"n","True",80,27,"False",40,"True",40,"False",15,"False",12,3,2.537510872,1.036663055,0.200462103,"muchos",8,"under","3","ruido","azul","2 BN",0,1,3,"0","0","0","0","0","0","0","1","0","1","0","1"
"108",108,107,638,"n","True",81,27,"False",40,"True",41,"False",15,"False",12,1,1.636386871,0.135645151,0.300852776,"muchos",8,"under","1","ruido","purpura","2 BN",0,1,3,"0","0","0","0","0","0","0","0","0","0","0","1"
"109",109,108,334,"s","True",82,27,"True",41,"False",41,"False",15,"False",12,5,1.63528204,0.134336948,0.300736904,"muchos",7,"over","2_o2","senal","azul","3 BS",1,1,4,"0","0","1","0","1","0","1","0","1","0","1","0"
"110",110,109,629,"n","True",83,27,"False",41,"True",42,"False",15,"False",12,1,1.634963036,0.133831024,0.100266933,"muchos",7,"under","1","ruido","guinda","2 BN",0,1,3,"0","0","0","0","0","0","0","0","0","0","0","1"
"111",111,110,19,"s","True",84,27,"True",42,"False",42,"False",15,"False",12,5,2.737883091,1.2369771,0.401248932,"pocos",2,"over","2_o2","senal","guinda","4 AS",1,1,4,"0","0","1","0","1","0","1","0","1","0","1","0"
"112",112,111,305,"n","True",85,27,"False",42,"True",43,"False",15,"False",12,2,2.035839081,0.53481698,0.200517893,"pocos",2,"under","1","ruido","verde","1 AN",0,1,3,"0","0","0","0","0","0","0","0","0","1","0","1"
"113",113,112,156,"s","True",86,27,"True",43,"False",43,"False",15,"False",12,4,3.136465073,1.63529706,1.503795147,"pocos",3,"under","2_u3","senal","verde","4 AS",1,1,4,"0","0","0","0","1","0","1","0","1","0","1","0"
"114",114,113,174,"n","True",87,27,"False",43,"True",44,"False",15,"False",12,2,2.036329031,0.535680056,0.300780058,"pocos",3,"over","3","ruido","azul","1 AN",0,1,3,"0","0","0","0","0","0","0","0","0","1","0","1"
"115",115,114,625,"n","True",88,27,"False",43,"True",45,"False",15,"False",12,1,2.338202953,0.83783102,0.401028872,"muchos",7,"under","1","ruido","verde","2 BN",0,1,3,"0","0","0","0","0","0","0","0","0","0","0","1"
"116",116,115,51,"s","True",89,27,"True",44,"False",45,"False",15,"False",12,5,3.138338804,1.637427807,0.802838087,"pocos",3,"over","2_o3","senal","naranja","4 AS",1,1,4,"0","0","1","0","1","0","1","0","1","0","1","0"
"117",117,116,356,"s","True",90,27,"True",45,"False",45,"False",15,"False",12,5,2.537299871,1.036351919,0.601574898,"muchos",7,"over","2_o2","senal","verde","3 BS",1,1,4,"0","0","1","0","1","0","1","0","1","0","1","0"
